cc_cb_code;cc_cm_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
FI000016282553;CM000000000087;;;;;
FI000016282560;CM000000000087;;;;;
FI000016282588;CM000000000088;;;;;
FI000016282557;CM000000000089;;;;;
FI000016282500;CM000000000090;;;;;
FI000016282523;CM000000000091;;;;;
FI000016282524;CM000000000091;;;;;
FI000016282585;CM000000000091;;;;;
FI000016282507;CM000000000092;;;;;
FI000016282562;CM000000000093;;;;;
FI000016282504;CM000000000094;;;;;
FI000016282563;CM000000000095;;;;;
FI000016282505;CM000000000096;;;;;
FI000016282561;CM000000000097;;;;;
FI000016282554;CM000000000098;;;;;
FI000016282575;CM000000000099;;;;;
FI000016282581;CM000000000100;;;;;
FI000016282558;CM000000000101;;;;;
FI000016282586;CM000000000102;;;;;
FI000016282588;CM000000000103;;;;;
FI000016918437;CM000000000103;;;;;
FI000016178983;CM000000000104;;;;;
FI000016282553;CM000000000105;;;;;
FI000016282567;CM000000000106;;;;;
FI000033715028;CM000000000107;;;;;
FI000016494785;CM000000000108;;;;;
FI000033715028;CM000000000109;;;;;
FI000016282550;CM000000000110;;;;;
FI000016282513;CM000000000111;;;;;
FI000016282526;CM000000000111;;;;;
FI000016282526;CM000000000112;;;;;
FI000016918437;CM000000000113;;;;;
FI000017833046;CM000000000114;;;;;
FI000017833047;CM000000000114;;;;;
FI000016560081;CM000000000115;;;;;
FI000016560083;CM000000000115;;;;;
FI000016560084;CM000000000115;;;;;
FI000016282500;CM000000000116;;;;;
FI000016282567;CM000000000117;;;;;
FI000016282591;CM000000000118;;;;;
FI000016282526;CM000000000119;;;;;
FI000016282500;CM000000000120;;;;;
FI000017833046;CM000000000121;;;;;
FI000017833047;CM000000000121;;;;;
FI000016494785;CM000000000122;;;;;
FI000016282566;CM000000000123;;;;;
FI000033715028;CM000000000123;;;;;
FI000016282567;CM000000000124;;;;;
FI000016282514;CM000000000125;;;;;
FI000016282502;CM000000000126;;;;;
FI000016282528;CM000000000127;;;;;
FI000016282527;CM000000000128;;;;;
FI000016282570;CM000000000129;;;;;
FI000016282545;CM000000000130;;;;;
FI000016918438;CM000000000131;;;;;
FI000016282592;CM000000000132;;;;;
FI000016282501;CM000000000133;;;;;
FI000016282548;CM000000000134;;;;;
FI000016282549;CM000000000135;;;;;
FI000016282515;CM000000000136;;;;;
FI000016282569;CM000000000137;;;;;
FI000016282503;CM000000000138;;;;;
FI000016282547;CM000000000139;;;;;
FI000016282546;CM000000000140;;;;;
FI000016918439;CM000000000141;;;;;
FI000016282568;CM000000000142;;;;;
FI000016282561;CM000000000001;;;;;
FI000016282589;CM000000000002;;;;;
FI000016178977;CM000000000003;;;;;
FI000016178978;CM000000000003;;;;;
FI000016282498;CM000000000003;;;;;
FI000016282510;CM000000000003;;;;;
FI000016282571;CM000000000003;;;;;
FI000016282578;CM000000000004;;;;;
FI000016282500;CM000000000005;;;;;
FI000016282505;CM000000000006;;;;;
FI000016282573;CM000000000007;;;;;
FI000016282589;CM000000000007;;;;;
FI000016178978;CM000000000008;;;;;
FI000016282506;CM000000000009;;;;;
FI000033715028;CM000000000009;;;;;
FI000016282591;CM000000000010;;;;;
FI000016560081;CM000000000010;;;;;
FI000016560083;CM000000000010;;;;;
FI000016560084;CM000000000010;;;;;
FI000016494785;CM000000000011;;;;;
FI000017833046;CM000000000012;;;;;
FI000016282518;CM000000000013;;;;;
FI000016178978;CM000000000014;;;;;
FI000016282572;CM000000000015;;;;;
FI000016282589;CM000000000015;;;;;
FI000016282574;CM000000000016;;;;;
FI000016282516;CM000000000017;;;;;
FI000016282553;CM000000000017;;;;;
FI000016481458;CM000000000018;;;;;
FI000016282556;CM000000000019;;;;;
FI000016481458;CM000000000020;;;;;
FI000016282523;CM000000000021;;;;;
FI000016282571;CM000000000021;;;;;
FI000016178977;CM000000000022;;;;;
FI000016282497;CM000000000022;;;;;
FI000016282510;CM000000000022;;;;;
FI000016282571;CM000000000022;;;;;
FI000016282571;CM000000000023;;;;;
FI000016282577;CM000000000023;;;;;
FI000016282582;CM000000000023;;;;;
FI000016282588;CM000000000023;;;;;
FI000016918437;CM000000000023;;;;;
FI000016282559;CM000000000024;;;;;
FI000016176358;CM000000000025;;;;;
FI000016178977;CM000000000026;;;;;
FI000016282497;CM000000000026;;;;;
FI000016282510;CM000000000026;;;;;
FI000016282571;CM000000000026;;;;;
FI000016282553;CM000000000027;;;;;
FI000016178983;CM000000000028;;;;;
FI000016282508;CM000000000029;;;;;
FI000017833046;CM000000000030;;;;;
FI000017833047;CM000000000030;;;;;
FI000016282507;CM000000000031;;;;;
FI000016282550;CM000000000032;;;;;
FI000016282571;CM000000000033;;;;;
FI000016282582;CM000000000033;;;;;
FI000016176358;CM000000000034;;;;;
FI000016282550;CM000000000035;;;;;
FI000016282519;CM000000000036;;;;;
FI000016282571;CM000000000036;;;;;
FI000017833046;CM000000000036;;;;;
FI000017833047;CM000000000036;;;;;
FI000016282571;CM000000000037;;;;;
FI000016282584;CM000000000037;;;;;
FI000016178977;CM000000000038;;;;;
FI000016282499;CM000000000038;;;;;
FI000016282577;CM000000000039;;;;;
FI000016282578;CM000000000039;;;;;
FI000016282504;CM000000000040;;;;;
FI000016282509;CM000000000041;;;;;
FI000016282552;CM000000000042;;;;;
FI000016178977;CM000000000043;;;;;
FI000016178978;CM000000000043;;;;;
FI000016178983;CM000000000044;;;;;
FI000016282521;CM000000000045;;;;;
FI000016282571;CM000000000045;;;;;
FI000016282520;CM000000000046;;;;;
FI000017833046;CM000000000046;;;;;
FI000016178978;CM000000000047;;;;;
FI000016282566;CM000000000048;;;;;
FI000033715028;CM000000000048;;;;;
FI000016282516;CM000000000049;;;;;
FI000016282553;CM000000000049;;;;;
FI000016178983;CM000000000050;;;;;
FI000016178983;CM000000000051;;;;;
FI000016282585;CM000000000052;;;;;
FI000016178978;CM000000000053;;;;;
FI000016282510;CM000000000053;;;;;
FI000016282512;CM000000000053;;;;;
FI000016282526;CM000000000053;;;;;
FI000016282571;CM000000000053;;;;;
FI000016282576;CM000000000054;;;;;
FI000016178978;CM000000000055;;;;;
FI000016282565;CM000000000056;;;;;
FI000016282566;CM000000000056;;;;;
FI000033715028;CM000000000056;;;;;
FI000017833046;CM000000000057;;;;;
FI000017833047;CM000000000057;;;;;
FI000033715028;CM000000000058;;;;;
FI000016178983;CM000000000059;;;;;
FI000016282559;CM000000000060;;;;;
FI000016282553;CM000000000061;;;;;
FI000016282522;CM000000000062;;;;;
FI000016282571;CM000000000062;;;;;
FI000016178983;CM000000000063;;;;;
FI000016282565;CM000000000064;;;;;
FI000016282566;CM000000000064;;;;;
FI000033715028;CM000000000064;;;;;
FI000016282525;CM000000000065;;;;;
FI000016282585;CM000000000065;;;;;
FI000016178978;CM000000000066;;;;;
FI000016282552;CM000000000067;;;;;
FI000016282555;CM000000000068;;;;;
FI000017833046;CM000000000069;;;;;
FI000016282571;CM000000000070;;;;;
FI000016282583;CM000000000070;;;;;
FI000016282573;CM000000000071;;;;;
FI000016282589;CM000000000071;;;;;
FI000016282513;CM000000000072;;;;;
FI000016282526;CM000000000072;;;;;
FI000016282518;CM000000000073;;;;;
FI000016282516;CM000000000074;;;;;
FI000016282553;CM000000000074;;;;;
FI000016282519;CM000000000075;;;;;
FI000016282571;CM000000000075;;;;;
FI000033715028;CM000000000076;;;;;
FI000016918437;CM000000000077;;;;;
FI000016282556;CM000000000078;;;;;
FI000016178978;CM000000000079;;;;;
FI000016282511;CM000000000079;;;;;
FI000016282519;CM000000000079;;;;;
FI000016282571;CM000000000079;;;;;
FI000016178977;CM000000000080;;;;;
FI000016282499;CM000000000080;;;;;
FI000016282512;CM000000000080;;;;;
FI000016282526;CM000000000080;;;;;
FI000016282587;CM000000000081;;;;;
FI000016282523;CM000000000082;;;;;
FI000016282571;CM000000000082;;;;;
FI000016178983;CM000000000083;;;;;
FI000016282508;CM000000000084;;;;;
FI000016282517;CM000000000085;;;;;
FI000016282553;CM000000000085;;;;;
FI000016282551;CM000000000086;;;;;
