cb_code;cb_codeext;cb_abandon;cb_perirec;cb_etiquet;cb_nd1;cb_nd2;cb_bp1;cb_ba1;cb_bp2;cb_ba2;cb_r1_code;cb_r2_code;cb_r3_code;cb_fo_type;cb_prop;cb_gest;cb_proptyp;cb_statut;cb_dateins;cb_avct;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_cabphy;cb_lgreel;cb_r4_code;cb_user;cb_etat;cb_datemes;cb_tech;cb_diam;cb_color;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
FI000016282523;16282523;0;;PBO-SRO-BPI-11363897-058 / PBO-SRO-BPI-11363897-052 / FOURQUES;CH000004311358;CH000004316476;BL000008028044;;BL000008028071;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-52;E;C;DI;FI000000000702;72;;;6;16282523;126.64;;;;;;;;;;;;;;
FI000016282521;16282521;0;;PBO-SRO-BPI-11363897-064 / PBO-SRO-BPI-11363897-071 / FOURQUES;CH000004310408;CH000004313914;BL000008027999;;BL000008027672;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-49;E;C;DI;FI000000000702;72;;;6;16282521;48.37;;;;;;;;;;;;;;
FI000016282583;16282583;0;;PBO-SRO-BPI-11363897-047 / PBO-SRO-BPI-11363897-048 / FOURQUES;CH000004323219;CH000004323220;BL000008027994;;BL000008027995;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-49;E;C;DI;FI000000000701;48;;;6;16282583;32.41;;;;;;;;;;;;;;
FI000016282522;16282522;0;;PBO-SRO-BPI-11363897-071 / PBO-SRO-BPI-11363897-058 / FOURQUES;CH000004313914;CH000004311358;BL000008027672;;BL000008028044;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-51;E;C;DI;FI000000000702;72;;;6;16282522;40.21;;;;;;;;;;;;;;
FI000016282582;16282582;0;;BPE-780/30117-FT / PBO-SRO-BPI-11363897-047 / FOURQUES;CH000003984947;CH000004323219;EN000012002774;;BL000008027994;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-48;E;C;DI;FI000000000701;48;;;6;16282582;106.64;;;;;;;;;;;;;;
FI000016282588;16282588;0;;BPE-780/30117-FT / mM-777/30117-FT / FOURQUES;CH000003984947;CH000003986243;EN000012002774;;EN000012002775;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-56;E;C;DI;FI000000000701;48;;;6;16282588;120.5;;;;;;;;;;;;;;
FI000016282577;16282577;0;;BPE-780/30117-FT / PBO-SRO-BPI-11363897-046 / FOURQUES;CH000003984947;CH000004323207;EN000012002774;;BL000008028070;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-42;E;C;DI;FI000000000701;48;;;6;16282577;73.55;;;;;;;;;;;;;;
FI000016282520;16282520;0;;PBO-SRO-BPI-11363897-064 / PBO-SRO-BPI-11363897-059 / FOURQUES;CH000004310408;CH000004310408;BL000008027999;;BL000008028045;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-48;E;C;DI;FI000000000704;24;;;6;16282520;14.76;;;;;;;;;;;;;;
FI000016282513;16282513;0;;PBO-SRO-BPI-11363897-015 / PBO-SRO-BPI-11363897-016 / FOURQUES;CH000004309426;SU000000869762;BL000008028023;;BL000008028024;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-38;E;C;DI;FI000000000704;24;;;6;16282513;13.24;;;;;;;;;;;;;;
FI000016282551;16282551;0;;PBO-SRO-BPI-11363897-023 / PBO-SRO-BPI-11363897-024 / FOURQUES;CH000004323206;CH000004310416;BL000008027992;;BL000008027993;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-09;E;C;DI;FI000000000706;48;;;6;16282551;107.1;;;;;;;;;;;;;;
FI000016282525;16282525;0;;PBO-SRO-BPI-11363897-053 / PBO-SRO-BPI-11363897-054 / FOURQUES;CH000004316158;CH000004316159;BL000008028072;;BL000008028073;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-55;E;C;DI;FI000000000702;72;;;6;16282525;20.76;;;;;;;;;;;;;;
FI000016282585;16282585;0;;PBO-SRO-BPI-11363897-051 / PBO-SRO-BPI-11363897-055 / FOURQUES;CH000004311359;CH000004315511;BL000008027998;;BL000008028074;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-52;E;C;DI;FI000000000701;48;;;6;16282585;74.76;;;;;;;;;;;;;;
FI000016282504;16282504;0;;M-884/30117-FT / PBO-SRO-BPI-11363897-068 / FOURQUES;CH000003986249;CH000004312318;EN000012002769;;BL000008027669;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-26;E;C;DI;FI000000000700;24;;;6;16282504;53.99;;;;;;;;;;;;;;
FI000016282587;16282587;0;;PBO-SRO-BPI-11363897-056 / PBO-SRO-BPI-11363897-057 / FOURQUES;CH000004316467;CH000004316155;BL000008028075;;BL000008028043;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-54;E;C;DI;FI000000000701;48;;;6;16282587;22.35;;;;;;;;;;;;;;
FI000016282550;16282550;0;;M-AERIEN-11\PM897 / PBO-SRO-BPI-11363897-023 / FOURQUES;SU000000540489;CH000004323206;EN000012002771;;BL000008027992;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-07;E;C;DI;FI000000000706;48;;;6;16282550;116.79;;;;;;;;;;;;;;
FI000016282555;16282555;0;;PBO-SRO-BPI-11363897-034 / PBO-SRO-BPI-11363897-033 / FOURQUES;CH000004317426;CH000004315506;BL000008028031;;BL000008028030;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-14;E;C;DI;FI000000000694;12;;;6;16282555;38.52;;;;;;;;;;;;;;
FI000016282524;16282524;0;;PBO-SRO-BPI-11363897-052 / PBO-SRO-BPI-11363897-053 / FOURQUES;CH000004316476;CH000004316158;BL000008028071;;BL000008028072;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-54;E;C;DI;FI000000000702;72;;;6;16282524;6.95;;;;;;;;;;;;;;
FI000016282500;16282500;0;;PBO-SRO-BPI-11363897-060 / PBO-SRO-BPI-11363897-061 / FOURQUES;CH000004317117;SU000000880789;BL000008028046;;BL000008028047;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-23-21;E;C;DI;FI000000000706;48;;;6;16282500;132.18;;;;;;;;;;;;;;
FI000016282554;16282554;0;;M-835/30117-FT / PBO-SRO-BPI-11363897-034 / FOURQUES;CH000004008955;CH000004317426;EN000012002772;;BL000008028031;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-12;E;C;DI;FI000000000702;72;;;6;16282554;33.93;;;;;;;;;;;;;;
FI000016282578;16282578;0;;PBO-SRO-BPI-11363897-046 / PBO-SRO-BPI-11363897-049 / FOURQUES;CH000004323207;CH000004323203;BL000008028070;;BL000008027996;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657A2;PCAB0000000225;GCAB0000000198;CST;REC;2019-10-28 12-24-43;E;C;DI;FI000000000701;48;;;6;16282578;63.05;;;;;;;;;;;;;;
