fo_code;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_etat;fo_code_ext;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
FOCR0000000001;CR000091663841;1;1;1;OK;;;;;;;;;;
FOCR0000000002;CR000036681521;1;1;1;OK;;;;;;;;;;
FOCR0000000003;CR000019301211;1;1;1;OK;;;;;;;;;;
FOCR0000000004;CR000006500401;1;1;1;OK;;;;;;;;;;
FOCR0000000005;CR000019580811;1;1;1;OK;;;;;;;;;;
FOCR0000000006;CR000016626521;1;1;1;OK;;;;;;;;;;
FOCR0000000007;CR000007590921;1;1;1;OK;;;;;;;;;;
FOCR0000000008;CR000089442931;1;1;1;OK;;;;;;;;;;
FOCR0000000009;CR000092322001;1;1;1;OK;;;;;;;;;;
FOCR0000000010;CR000027357261;1;1;1;OK;;;;;;;;;;
FOCR0000000011;CR000019461191;1;1;1;OK;;;;;;;;;;
FOCR0000000012;CR000033431911;1;1;1;OK;;;;;;;;;;
FOCR0000000013;CR000017720091;1;1;1;OK;;;;;;;;;;
FOCR0000000014;CR000014172641;1;1;1;OK;;;;;;;;;;
FOCR0000000015;CR000019375771;1;1;1;OK;;;;;;;;;;
FOCR0000000016;CR000030358581;1;1;1;OK;;;;;;;;;;
FOCR0000000017;CR000089705071;1;1;1;OK;;;;;;;;;;
FOCR0000000018;CR000022924231;1;1;1;OK;;;;;;;;;;
FOCR0000000019;CR000002682121;1;1;1;OK;;;;;;;;;;
FOCR0000000020;CR000026744171;1;1;1;OK;;;;;;;;;;
FOCR0000000021;CR000011585771;1;1;1;OK;;;;;;;;;;
FOCR0000000022;CR000025176021;1;1;1;OK;;;;;;;;;;
FOCR0000000023;CR000004070501;1;1;1;OK;;;;;;;;;;
FOCR0000000024;CR000020280691;1;1;1;OK;;;;;;;;;;
FOCR0000000025;CR000025566821;1;1;1;OK;;;;;;;;;;
FOCR0000000026;CR000039899031;1;1;1;OK;;;;;;;;;;
FOCR0000000027;CR000012824181;1;1;1;OK;;;;;;;;;;
FOCR0000000028;CR000033783031;1;1;1;OK;;;;;;;;;;
FOCR0000000029;CR000023507701;1;1;1;OK;;;;;;;;;;
FOCR0000000030;CR000039882451;1;1;1;OK;;;;;;;;;;
FOCR0000000031;CR000033548941;1;1;1;OK;;;;;;;;;;
FOCR0000000032;CR000099409391;1;1;1;OK;;;;;;;;;;
FOCR0000000033;CR000005312021;1;1;1;OK;;;;;;;;;;
FOCR0000000034;CR000004471121;1;1;1;OK;;;;;;;;;;
FOCR0000000035;CR000039885011;1;1;1;OK;;;;;;;;;;
FOCR0000000036;CR000035337681;1;1;1;OK;;;;;;;;;;
FOCR0000000037;CR000039927061;1;1;1;OK;;;;;;;;;;
FOCR0000000038;CR000040103621;1;1;1;OK;;;;;;;;;;
FOCR0000000039;CR000090623101;1;1;1;OK;;;;;;;;;;
FOCR0000000040;CR000033647281;1;1;1;OK;;;;;;;;;;
