lc_code;lc_bp_codf;lc_bp_codp;lc_codeext;lc_abandon;lc_prop;lc_gest;lc_statut;lc_dateins;lc_elec;lc_bat;lc_escal;lc_etage;lc_avct;lc_perirec;lc_etiquet;lc_st_code;lc_typelog;lc_proptyp;lc_user;lc_etat;lc_datemes;lc_local;lc_clim;lc_occp;lc_idmajic;lc_abddate;lc_abdsrc;lc_comment;lc_creadat;lc_majdate;lc_majsrc
PTO00092322001;BL000008028070;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-301170000048;FTTH;;;;;;;;;;;;;;
PTO00002196341;BL000008028026;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-301170000015;FTTH;;;;;;;;;;;;;;
PTO00022924231;BL000008027996;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30117000008G;FTTH;;;;;;;;;;;;;;
PTO00014283441;BL000008028033;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30117000006N;FTTH;;;;;;;;;;;;;;
PTO00014172641;BL000008028033;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-301170000088;FTTH;;;;;;;;;;;;;;
PTO00014252411;BL000008028033;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-301170000068;FTTH;;;;;;;;;;;;;;
PTO00014323171;BL000008028033;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30117000002L;FTTH;;;;;;;;;;;;;;
PTO00036681521;BL000008027993;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-301170000060;FTTH;;;;;;;;;;;;;;
PTO00033358211;BL000008028043;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30117000005S;FTTH;;;;;;;;;;;;;;
PTO00092688201;BL000008028069;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30117000007J;FTTH;;;;;;;;;;;;;;
PTO00028977361;BL000008027992;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30117000003T;FTTH;;;;;;;;;;;;;;
PTO00029030811;BL000008027992;;;0;;;;;;;HABITATION;HABITATION;;;;IM00000000000000000000000ID-30117000003L;FTTH;;;;;;;;;;;;;;
