lv_id;lv_cb_code;lv_nd_code;lv_long;lv_creadat;lv_majdate;lv_majsrc;lv_abddate;lv_abdsrc
1;FI000016282497;CH000003986249;0;;;;;
2;FI000017833047;CH000004313905;0;;;;;
3;FI000016282565;CH000004313607;0;;;;;
4;FI000016282563;CH000004311707;0;;;;;
5;FI000016282562;CH000004313616;0;;;;;
6;FI000016282514;SU000000870110;0;;;;;
7;FI000016282557;CH000004311345;0;;;;;
8;CR000033538991;IM00000000000000000000000ID-30117000004A;0;;;;;
9;CR000004070501;IM00000000000000000000000ID-3011700000QE;0;;;;;
10;CR000097001431;IM00000000000000000000000ID-30117000007V;0;;;;;
11;CR000003033071;IM00000000000000000000000ID-30117000006U;0;;;;;
12;CR000014688471;IM00000000000000000000000ID-301170000073;0;;;;;
13;CR000036048671;IM00000000000000000000000ID-30117000007Z;0;;;;;
14;CR000019481921;IM00000000000000000000000ID-301170000007;0;;;;;
15;FI000016282545;SU000000863688;0;;;;;
16;FI000016282528;SU000000870112;0;;;;;
17;CR000091663841;IM00000000000000000000000ID-30117000002I;0;;;;;
18;CR000067641551;IM00000000000000000000000ID-3011700000UO;0;;;;;
19;CR000007455651;IM00000000000000000000000ID-30117000002X;0;;;;;
20;CR000005276871;IM00000000000000000000000ID-30117000000K;0;;;;;
21;CR000013878251;IM00000000000000000000000ID-30117000001N;0;;;;;
22;CR000023365241;IM00000000000000000000000ID-301170000033;0;;;;;
23;CR000025230271;IM00000000000000000000000ID-301170000047;0;;;;;
24;CR000011585771;IM00000000000000000000000ID-3011700000RB;0;;;;;
25;CR000033075061;IM00000000000000000000000ID-301170000069;0;;;;;
26;CR000033381581;IM00000000000000000000000ID-30117000006T;0;;;;;
27;CR000013850251;IM00000000000000000000000ID-30117000001P;0;;;;;
28;CR000034398021;IM00000000000000000000000ID-30117000001C;0;;;;;
29;CR000019375771;IM00000000000000000000000ID-301170000006;0;;;;;
30;CR000090970171;IM00000000000000000000000ID-30117000015F;0;;;;;
31;CR000007545381;IM00000000000000000000000ID-30117000004E;0;;;;;
32;CR000035337681;IM00000000000000000000000ID-301170000070;0;;;;;
33;CR000033075471;IM00000000000000000000000ID-30117000005C;0;;;;;
34;CR000092322001;IM00000000000000000000000ID-301170000048;0;;;;;
35;CR000039894481;IM00000000000000000000000ID-30117000001L;0;;;;;
36;CR000031097641;IM00000000000000000000000ID-30117000007I;0;;;;;
37;CR000091563781;IM00000000000000000000000ID-3011700000QP;0;;;;;
38;CR000034816861;IM00000000000000000000000ID-30117000008F;0;;;;;
39;CR000025632121;IM00000000000000000000000ID-30117000000P;0;;;;;
40;CR000022285831;IM00000000000000000000000ID-30117000005D;0;;;;;
41;CR000034883591;IM00000000000000000000000ID-30117000007F;0;;;;;
42;CR000019416901;IM00000000000000000000000ID-301170000006;0;;;;;
43;CR000039919311;IM00000000000000000000000ID-30117000001L;0;;;;;
44;CR000005424071;IM00000000000000000000000ID-30117000000J;0;;;;;
45;FI000016282582;CH000004323219;0;;;;;
46;FI000016282588;CH000003986243;0;;;;;
47;FI000016282554;CH000004317426;0;;;;;
48;FI000016178978;CH000004094397;0;;;;;
49;FI000017833046;CH000004323202;0;;;;;
50;FI000016282584;CH000004311359;0;;;;;
51;FI000016282586;CH000004316467;0;;;;;
52;FI000016282499;CH000004094397;0;;;;;
53;FI000016282570;SU000000864654;0;;;;;
54;FI000016282573;CH000004311353;0;;;;;
55;FI000016282556;CH000004317428;0;;;;;
56;FI000016282517;CH000004323264;0;;;;;
57;FI000016282558;CH000004311346;0;;;;;
58;FI000016918437;HU000013348706;0;;;;;
59;FI000016560081;IM00000000000000000000000ID-30117000001L;0;;;;;
60;CR000039882451;IM00000000000000000000000ID-30117000001L;0;;;;;
61;CR000012824181;IM00000000000000000000000ID-30117000001X;0;;;;;
62;CR000026744171;IM00000000000000000000000ID-30117000001S;0;;;;;
63;CR000020280691;IM00000000000000000000000ID-3011700000V8;0;;;;;
64;CR000005424011;IM00000000000000000000000ID-30117000000H;0;;;;;
65;CR000019580811;IM00000000000000000000000ID-30117000007G;0;;;;;
66;CR000006472471;IM00000000000000000000000ID-301170000062;0;;;;;
67;CR000014696761;IM00000000000000000000000ID-30117000002H;0;;;;;
68;CR000039940281;IM00000000000000000000000ID-30117000001L;0;;;;;
69;FI000016481458;HU000013193478;0;;;;;
587;CR000080845611;CH000004316159;0;;;;;
588;CR000013850041;HU000013029986;0;;;;;
589;CR000033623341;CH000004317428;0;;;;;
590;CR000036210201;CH000004313905;0;;;;;
591;CR000079773101;CH000004316798;0;;;;;
593;CR000025632121;SU000000880789;0;;;;;
594;CR000033702061;CH000004315511;0;;;;;
595;CR000002538371;SU000000880765;0;;;;;
596;CR000017667011;CH000004311345;0;;;;;
597;CR000010597461;CH000004316159;0;;;;;
598;CR000094405851;CH000004309432;0;;;;;
599;CR000019689021;CH000004310066;0;;;;;
601;CR000039980751;HU000013029985;0;;;;;
603;CR000005424071;SU000000869763;0;;;;;
604;CR000006490831;CH000004323204;0;;;;;
605;CR000033673071;CH000004323264;0;;;;;
606;CR000056980391;SU000000863688;0;;;;;
608;CR000025127431;CH000004311348;0;;;;;
609;CR000025210601;CH000004311358;0;;;;;
610;FI000016282555;CH000004317426;0;;;;;
611;FI000016282500;CH000004317117;0;;;;;
612;FI000016282505;CH000004312318;0;;;;;
613;FI000016282557;CH000004317428;0;;;;;
614;CR000017720091;CH000004311345;0;;;;;
615;CR000026744171;HU000013029984;0;;;;;
616;CR000014846531;CH000004316467;0;;;;;
617;CR000010839491;SU000000880805;0;;;;;
618;CR000035420151;CH000004311346;0;;;;;
619;CR000033783031;CH000004323264;0;;;;;
620;CR000029170381;CH000004323206;0;;;;;
621;CR000003033071;CH000004315506;0;;;;;
624;CR000029233591;CH000004323206;0;;;;;
625;CR000019481921;CH000004316155;0;;;;;
626;FI000016282503;SU000000880790;0;;;;;
627;FI000016282515;SU000000870110;0;;;;;
628;FI000016282569;SU000000870120;0;;;;;
629;CR000019334051;CH000004309426;0;;;;;
630;CR000091663841;CH000004323262;0;;;;;
631;CR000082786451;CH000004309432;0;;;;;
632;CR000036681521;CH000004310416;0;;;;;
634;CR000025230271;CH000004311348;0;;;;;
635;CR000014801281;CH000004316467;0;;;;;
638;CR000033499301;CH000004317426;0;;;;;
639;CR000090970171;SU000000870123;0;;;;;
640;CR000017754891;CH000004311345;0;;;;;
641;CR000003444571;SU000000869762;0;;;;;
642;CR000016579251;CH000004316476;0;;;;;
643;CR000023477421;CH000004323207;0;;;;;
644;CR000007545381;CH000004323244;0;;;;;
645;CR000035337851;CH000004311346;0;;;;;
646;CR000019765711;CH000004323219;0;;;;;
647;CR000031784491;CH000004311353;0;;;;;
648;CR000002949421;CH000004315506;0;;;;;
649;CR000007455771;CH000004323244;0;;;;;
650;CR000092253931;CH000004313607;0;;;;;
651;CR000033431911;CH000004315506;0;;;;;
652;CR000023388951;CH000004323207;0;;;;;
653;CR000025553871;SU000000880663;0;;;;;
654;CR000014283441;CH000004316479;0;;;;;
655;CR000004471121;SU000000864654;0;;;;;
656;FI000016282523;CH000004311358;0;;;;;
657;FI000016282497;PE000001906307;0;;;;;
658;FI000016282547;SU000000540489;0;;;;;
659;FI000016282518;CH000004323264;0;;;;;
660;CR000007566851;CH000004323244;0;;;;;
661;CR000012824181;SU000000870120;0;;;;;
662;CR000035381241;CH000004311346;0;;;;;
663;CR000099496801;SU000000870110;0;;;;;
664;CR000033620211;CH000004311359;0;;;;;
665;CR000027362131;CH000004323245;0;;;;;
666;CR000033538991;CH000004311359;0;;;;;
667;CR000019580811;CH000004310066;0;;;;;
668;CR000007556761;CH000004317429;0;;;;;
669;CR000007495531;CH000004317429;0;;;;;
671;CR000033449681;CH000004317426;0;;;;;
672;CR000033620401;CH000004317426;0;;;;;
673;FI000016282527;SU000000540489;0;;;;;
674;FI000016282545;SU000000870112;0;;;;;
675;CR000016595311;CH000004316476;0;;;;;
676;CR000092688201;CH000004323245;0;;;;;
677;CR000019301211;CH000004309426;0;;;;;
678;CR000015261831;CH000004323190;0;;;;;
679;CR000028977361;CH000004323206;0;;;;;
680;CR000005276871;SU000000869763;0;;;;;
681;CR000035332631;CH000004311346;0;;;;;
682;CR000033381581;CH000004323264;0;;;;;
683;CR000017692881;CH000004311345;0;;;;;
684;CR000035337681;CH000004311346;0;;;;;
685;CR000002682181;SU000000880765;0;;;;;
686;CR000027272131;CH000004323245;0;;;;;
687;CR000035384591;CH000004311345;0;;;;;
688;CR000012884221;SU000000870120;0;;;;;
689;CR000023507701;CH000004323207;0;;;;;
690;CR000027949721;CH000004323220;0;;;;;
691;CR000022924121;CH000004323203;0;;;;;
692;CR000038427731;SU000000870110;0;;;;;
693;CR000082177871;SU000000880790;0;;;;;
694;CR000033358301;CH000004316155;0;;;;;
695;CR000083028231;CH000004312318;0;;;;;
696;FI000016282522;CH000004313914;0;;;;;
698;FI000016282550;SU000000540489;0;;;;;
699;FI000016282524;CH000004316476;0;;;;;
700;FI000016282578;CH000004323207;0;;;;;
701;FI000016282559;CH000004317428;0;;;;;
702;FI000016282508;CH000004309432;0;;;;;
703;FI000016282562;CH000004323214;0;;;;;
704;FI000016282575;CH000004323204;0;;;;;
705;FI000016282514;SU000000869762;0;;;;;
706;FI000016282501;SU000000880789;0;;;;;
707;CR000081093231;SU000000869762;0;;;;;
708;CR000093799901;CH000004313616;0;;;;;
709;CR000036675361;CH000004310416;0;;;;;
710;CR000014688471;CH000004316467;0;;;;;
711;CR000031077091;CH000004312320;0;;;;;
712;FI000016282528;SU000000540489;0;;;;;
713;CR000033096501;CH000004311707;0;;;;;
714;CR000067641551;SU000000863688;0;;;;;
715;CR000016626521;CH000004316476;0;;;;;
716;CR000025632171;SU000000880789;0;;;;;
717;CR000067706191;CH000004094397;0;;;;;
718;CR000034277141;SU000000870112;0;;;;;
719;CR000020305121;CH000004094397;0;;;;;
720;CR000033075061;CH000004311707;0;;;;;
721;CR000089336571;CH000004313905;0;;;;;
722;CR000014175521;CH000004316479;0;;;;;
723;CR000033075471;CH000004311707;0;;;;;
724;CR000089378951;CH000004313914;0;;;;;
725;CR000033400921;CH000004315511;0;;;;;
726;CR000031097641;CH000004312320;0;;;;;
727;CR000007455681;CH000004317429;0;;;;;
729;CR000022354311;CH000004316800;0;;;;;
730;CR000019689481;CH000004310066;0;;;;;
731;CR000032587611;CH000004316798;0;;;;;
733;CR000007462491;CH000004317429;0;;;;;
734;CR000036685001;CH000004310416;0;;;;;
70;CR000019334051;IM00000000000000000000000ID-30117000004L;0;;;;;
71;CR000033096501;IM00000000000000000000000ID-30117000007O;0;;;;;
72;CR000079159861;IM00000000000000000000000ID-30117000004T;0;;;;;
73;CR000092688201;IM00000000000000000000000ID-30117000007J;0;;;;;
74;CR000019301211;IM00000000000000000000000ID-30117000007R;0;;;;;
75;CR000016585201;IM00000000000000000000000ID-301170000034;0;;;;;
76;CR000017654101;IM00000000000000000000000ID-301170000039;0;;;;;
77;CR000029030811;IM00000000000000000000000ID-30117000003L;0;;;;;
78;CR000039899031;IM00000000000000000000000ID-30117000001L;0;;;;;
79;CR000033499301;IM00000000000000000000000ID-30117000002G;0;;;;;
80;CR000036198891;IM00000000000000000000000ID-30117000006A;0;;;;;
81;CR000033169791;IM00000000000000000000000ID-301170000083;0;;;;;
82;CR000039387431;IM00000000000000000000000ID-30117000000G;0;;;;;
83;CR000089378951;IM00000000000000000000000ID-301170000034;0;;;;;
84;CR000014172851;IM00000000000000000000000ID-30117000007B;0;;;;;
85;CR000032616501;IM00000000000000000000000ID-301170000075;0;;;;;
86;CR000025150681;IM00000000000000000000000ID-3011700000UP;0;;;;;
87;CR000033702061;IM00000000000000000000000ID-30117000004O;0;;;;;
88;CR000017667011;IM00000000000000000000000ID-301170000067;0;;;;;
89;CR000094405851;IM00000000000000000000000ID-3011700000ZN;0;;;;;
90;CR000025663181;IM00000000000000000000000ID-30117000000F;0;;;;;
91;CR000025484431;IM00000000000000000000000ID-30117000001G;0;;;;;
92;CR000039980751;IM00000000000000000000000ID-30117000001J;0;;;;;
93;CR000036685001;IM00000000000000000000000ID-30117000007N;0;;;;;
94;CR000014283441;IM00000000000000000000000ID-30117000006N;0;;;;;
95;CR000025127431;IM00000000000000000000000ID-30117000005T;0;;;;;
96;CR000033358211;IM00000000000000000000000ID-30117000005S;0;;;;;
97;FI000016282583;CH000004323220;0;;;;;
98;FI000016282577;CH000004323207;0;;;;;
99;FI000016282550;CH000004323206;0;;;;;
100;FI000016282555;CH000004315506;0;;;;;
101;FI000016282576;CH000004323245;0;;;;;
102;FI000016282567;SU000000880805;0;;;;;
103;FI000016282571;CH000003984947;0;;;;;
104;FI000016282519;CH000004310408;0;;;;;
105;FI000033715028;CH000004008959;0;;;;;
106;FI000016282498;CH000004317117;0;;;;;
107;FI000016282561;CH000004323214;0;;;;;
108;FI000016282505;CH000004312320;0;;;;;
109;FI000016282509;SU000000870123;0;;;;;
110;FI000016560083;IM00000000000000000000000ID-30117000001L;0;;;;;
111;FI000016560084;IM00000000000000000000000ID-30117000001L;0;;;;;
112;CR000089442931;IM00000000000000000000000ID-30117000006Y;0;;;;;
113;CR000039940301;IM00000000000000000000000ID-30117000001L;0;;;;;
114;CR000093799901;IM00000000000000000000000ID-301170000026;0;;;;;
115;CR000027362131;IM00000000000000000000000ID-30117000002B;0;;;;;
116;FI000016282515;SU000000870111;0;;;;;
117;CR000025632171;IM00000000000000000000000ID-30117000000N;0;;;;;
118;CR000025176021;IM00000000000000000000000ID-30117000004Q;0;;;;;
119;CR000036681521;IM00000000000000000000000ID-301170000060;0;;;;;
120;CR000039993371;IM00000000000000000000000ID-30117000001L;0;;;;;
121;CR000003442091;IM00000000000000000000000ID-30117000000X;0;;;;;
122;CR000036210151;IM00000000000000000000000ID-30117000007T;0;;;;;
123;CR000033734211;IM00000000000000000000000ID-30117000006V;0;;;;;
124;CR000019354671;IM00000000000000000000000ID-30117000008E;0;;;;;
125;CR000019615031;IM00000000000000000000000ID-30117000002W;0;;;;;
126;CR000067744121;IM00000000000000000000000ID-30117000001L;0;;;;;
127;CR000039936851;IM00000000000000000000000ID-30117000001L;0;;;;;
128;CR000081711191;IM00000000000000000000000ID-301170000007;0;;;;;
129;CR000089336571;IM00000000000000000000000ID-301170000066;0;;;;;
130;CR000037018611;IM00000000000000000000000ID-30117000004P;0;;;;;
131;CR000011556491;IM00000000000000000000000ID-30117000007S;0;;;;;
132;CR000003444571;IM00000000000000000000000ID-30117000000W;0;;;;;
133;CR000014175521;IM00000000000000000000000ID-301170000022;0;;;;;
134;CR000035384591;IM00000000000000000000000ID-301170000058;0;;;;;
135;CR000091391021;IM00000000000000000000000ID-30117000001O;0;;;;;
136;CR000003442401;IM00000000000000000000000ID-301170000010;0;;;;;
137;CR000027357261;IM00000000000000000000000ID-30117000007J;0;;;;;
138;CR000079773101;IM00000000000000000000000ID-301170000056;0;;;;;
139;CR000023023991;IM00000000000000000000000ID-30117000002E;0;;;;;
140;CR000010605821;IM00000000000000000000000ID-30117000007J;0;;;;;
141;CR000019689481;IM00000000000000000000000ID-30117000005G;0;;;;;
142;CR000002538371;IM00000000000000000000000ID-30117000001L;0;;;;;
143;CR000039458911;IM00000000000000000000000ID-30117000000G;0;;;;;
144;CR000038427731;IM00000000000000000000000ID-301170000014;0;;;;;
145;CR000002949421;IM00000000000000000000000ID-30117000005I;0;;;;;
146;CR000092253931;IM00000000000000000000000ID-30117000002Z;0;;;;;
147;CR000023388951;IM00000000000000000000000ID-301170000054;0;;;;;
148;CR000090623101;IM00000000000000000000000ID-30117000006M;0;;;;;
149;CR000039919211;IM00000000000000000000000ID-30117000001L;0;;;;;
150;CR000033692761;IM00000000000000000000000ID-301170000089;0;;;;;
151;FI000016282585;CH000004315511;0;;;;;
152;FI000016282524;CH000004316158;0;;;;;
153;FI000016178983;CH000003986242;0;;;;;
154;FI000016178977;PE000001906307;0;;;;;
155;FI000016282511;CH000004323232;0;;;;;
156;FI000016282516;CH000004316800;0;;;;;
157;FI000016282589;CH000003986231;0;;;;;
158;FI000016282575;CH000004323244;0;;;;;
159;FI000016282574;CH000004323204;0;;;;;
160;FI000016282501;SU000000880663;0;;;;;
161;CR000081093231;IM00000000000000000000000ID-30117000000Y;0;;;;;
162;CR000040092111;IM00000000000000000000000ID-30117000000E;0;;;;;
163;CR000004428331;IM00000000000000000000000ID-3011700000V3;0;;;;;
164;CR000081823701;IM00000000000000000000000ID-301170000007;0;;;;;
165;CR000007556761;IM00000000000000000000000ID-30117000005L;0;;;;;
166;CR000040077771;IM00000000000000000000000ID-30117000001H;0;;;;;
167;CR000029170381;IM00000000000000000000000ID-30117000002U;0;;;;;
168;CR000010861381;IM00000000000000000000000ID-3011700000V3;0;;;;;
169;CR000029233591;IM00000000000000000000000ID-301170000087;0;;;;;
170;FI000016282503;SU000000880791;0;;;;;
171;CR000022895011;IM00000000000000000000000ID-30117000006K;0;;;;;
172;CR000028977361;IM00000000000000000000000ID-30117000003T;0;;;;;
173;CR000025105161;IM00000000000000000000000ID-30117000006X;0;;;;;
174;CR000022901031;IM00000000000000000000000ID-30117000005X;0;;;;;
175;CR000014323171;IM00000000000000000000000ID-30117000002L;0;;;;;
176;CR000039885301;IM00000000000000000000000ID-30117000001L;0;;;;;
177;CR000093693101;IM00000000000000000000000ID-30117000000V;0;;;;;
178;CR000023477421;IM00000000000000000000000ID-301170000048;0;;;;;
179;CR000040103621;IM00000000000000000000000ID-30117000001I;0;;;;;
180;CR000033400921;IM00000000000000000000000ID-301170000043;0;;;;;
181;CR000035337851;IM00000000000000000000000ID-30117000003M;0;;;;;
182;CR000023507701;IM00000000000000000000000ID-301170000030;0;;;;;
183;CR000099409391;IM00000000000000000000000ID-30117000015F;0;;;;;
184;CR000007590921;IM00000000000000000000000ID-30117000007A;0;;;;;
185;CR000019385681;IM00000000000000000000000ID-301170000006;0;;;;;
186;CR000033431911;IM00000000000000000000000ID-30117000005A;0;;;;;
187;CR000025553871;IM00000000000000000000000ID-30117000000R;0;;;;;
188;CR000013734441;IM00000000000000000000000ID-30117000001O;0;;;;;
189;CR000033647281;IM00000000000000000000000ID-301170000029;0;;;;;
190;CR000056980391;IM00000000000000000000000ID-30117000005H;0;;;;;
191;FI000016282521;CH000004313914;0;;;;;
192;FI000016282551;CH000004310416;0;;;;;
193;FI000016282500;SU000000880789;0;;;;;
194;FI000016282552;CH000004316479;0;;;;;
195;FI000016176358;CH000003985265;0;;;;;
196;FI000016282508;CH000004323262;0;;;;;
197;FI000016282548;HU000013029985;0;;;;;
198;FI000016282572;CH000004311348;0;;;;;
199;FI000016918438;HU000013348706;0;;;;;
200;CR000017720091;IM00000000000000000000000ID-301170000051;0;;;;;
201;CR000014846531;IM00000000000000000000000ID-30117000008B;0;;;;;
202;CR000026627821;IM00000000000000000000000ID-30117000001K;0;;;;;
203;CR000022924161;IM00000000000000000000000ID-30117000007P;0;;;;;
204;CR000033783031;IM00000000000000000000000ID-30117000007M;0;;;;;
205;CR000006472371;IM00000000000000000000000ID-30117000007E;0;;;;;
206;CR000039899141;IM00000000000000000000000ID-30117000001L;0;;;;;
207;CR000025203541;IM00000000000000000000000ID-30117000003J;0;;;;;
208;CR000031077091;IM00000000000000000000000ID-30117000002N;0;;;;;
209;CR000081828641;IM00000000000000000000000ID-301170000078;0;;;;;
210;CR000034277141;IM00000000000000000000000ID-30117000001A;0;;;;;
211;CR000015383751;IM00000000000000000000000ID-30117000005J;0;;;;;
212;CR000019388531;IM00000000000000000000000ID-301170000006;0;;;;;
213;CR000020305121;IM00000000000000000000000ID-301170000065;0;;;;;
214;CR000017692881;IM00000000000000000000000ID-30117000008C;0;;;;;
215;CR000033002251;IM00000000000000000000000ID-30117000008I;0;;;;;
216;CR000033548941;IM00000000000000000000000ID-301170000085;0;;;;;
217;CR000086659331;IM00000000000000000000000ID-30117000001L;0;;;;;
218;CR000033620361;IM00000000000000000000000ID-30117000004T;0;;;;;
219;CR000080845611;IM00000000000000000000000ID-30117000004G;0;;;;;
220;CR000032656961;IM00000000000000000000000ID-30117000003A;0;;;;;
221;CR000033623341;IM00000000000000000000000ID-30117000006D;0;;;;;
222;CR000027949721;IM00000000000000000000000ID-301170000080;0;;;;;
223;CR000015258971;IM00000000000000000000000ID-30117000003C;0;;;;;
224;CR000010597461;IM00000000000000000000000ID-30117000004K;0;;;;;
225;CR000019461161;IM00000000000000000000000ID-30117000002O;0;;;;;
226;CR000010861291;IM00000000000000000000000ID-3011700000QM;0;;;;;
227;CR000039910411;IM00000000000000000000000ID-30117000001L;0;;;;;
228;FI000016282522;CH000004311358;0;;;;;
229;FI000016282520;CH000004310408;0;;;;;
230;FI000016282510;CH000003985909;0;;;;;
231;FI000016282547;HU000013029984;0;;;;;
232;FI000016282581;CH000004310066;0;;;;;
233;FI000016494785;IM00000000000000000000000ID-301170000006;0;;;;;
234;CR000035381241;IM00000000000000000000000ID-30117000002C;0;;;;;
235;CR000028977451;IM00000000000000000000000ID-301170000081;0;;;;;
236;CR000010839491;IM00000000000000000000000ID-301170000156;0;;;;;
237;CR000035420151;IM00000000000000000000000ID-30117000002Y;0;;;;;
238;CR000007495531;IM00000000000000000000000ID-30117000002K;0;;;;;
239;CR000030336331;IM00000000000000000000000ID-3011700000V9;0;;;;;
240;CR000033620401;IM00000000000000000000000ID-30117000003Q;0;;;;;
241;CR000039897551;IM00000000000000000000000ID-30117000001L;0;;;;;
242;CR000033157431;IM00000000000000000000000ID-30117000007U;0;;;;;
243;FI000016282546;SU000000863688;0;;;;;
244;CR000035930271;IM00000000000000000000000ID-30117000006L;0;;;;;
245;CR000016626521;IM00000000000000000000000ID-301170000021;0;;;;;
246;CR000015261831;IM00000000000000000000000ID-301170000024;0;;;;;
247;CR000006500401;IM00000000000000000000000ID-301170000020;0;;;;;
248;CR000019580601;IM00000000000000000000000ID-30117000007C;0;;;;;
249;CR000067706191;IM00000000000000000000000ID-301170000065;0;;;;;
250;CR000035332631;IM00000000000000000000000ID-301170000077;0;;;;;
251;CR000039888741;IM00000000000000000000000ID-30117000001L;0;;;;;
252;CR000027284981;IM00000000000000000000000ID-30117000006C;0;;;;;
253;CR000033499201;IM00000000000000000000000ID-30117000004D;0;;;;;
254;CR000017754891;IM00000000000000000000000ID-30117000002P;0;;;;;
255;CR000028970661;IM00000000000000000000000ID-30117000006O;0;;;;;
256;CR000002682181;IM00000000000000000000000ID-3011700000QO;0;;;;;
257;CR000056980381;IM00000000000000000000000ID-30117000001U;0;;;;;
258;CR000007455681;IM00000000000000000000000ID-30117000004N;0;;;;;
259;CR000013850041;IM00000000000000000000000ID-30117000001M;0;;;;;
260;CR000019576981;IM00000000000000000000000ID-30117000002Q;0;;;;;
261;CR000032639341;IM00000000000000000000000ID-30117000002D;0;;;;;
262;CR000022354311;IM00000000000000000000000ID-301170000032;0;;;;;
263;CR000019478771;IM00000000000000000000000ID-301170000006;0;;;;;
264;CR000022924121;IM00000000000000000000000ID-30117000007W;0;;;;;
265;CR000030358581;IM00000000000000000000000ID-30117000001D;0;;;;;
266;CR000032587611;IM00000000000000000000000ID-301170000061;0;;;;;
267;CR000033033141;IM00000000000000000000000ID-30117000003P;0;;;;;
268;CR000039885011;IM00000000000000000000000ID-30117000001L;0;;;;;
269;CR000033527511;IM00000000000000000000000ID-30117000005E;0;;;;;
270;CR000007462491;IM00000000000000000000000ID-30117000007D;0;;;;;
271;CR000019484671;IM00000000000000000000000ID-301170000006;0;;;;;
272;CR000010597491;IM00000000000000000000000ID-30117000007K;0;;;;;
273;CR000019723471;IM00000000000000000000000ID-30117000003Y;0;;;;;
274;CR000004471121;IM00000000000000000000000ID-3011700000V3;0;;;;;
275;CR000025210601;IM00000000000000000000000ID-301170000037;0;;;;;
276;FI000016282504;CH000004312318;0;;;;;
277;FI000016282566;SU000000880668;0;;;;;
278;FI000016282507;CH000004309432;0;;;;;
279;FI000016282553;CH000004008955;0;;;;;
280;FI000016282560;CH000004323190;0;;;;;
281;FI000016282518;CH000004316798;0;;;;;
282;FI000016918439;HU000013348706;0;;;;;
