ps_code;ps_1;ps_2;ps_numero;ps_cs_code;ps_type;ps_fonct;ps_preaff;ps_ti_code;ps_etat;ps_usetype;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS000000000385;FO000000002342;FO000000000113;4;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000386;FO000000000857;FO000000002330;5;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000387;FO000000000356;FO000000000964;6;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000388;FO000000000043;FO000000001093;7;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000389;FO000000001132;FO000000000032;8;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000390;FO000000001319;FO000000000886;9;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000391;FO000000001815;FO000000001938;10;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000392;FO000000001496;FO000000002355;11;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000393;FO000000000974;FO000000001208;12;CVEN0012002776;SFU;EP;;;;;;;;;;
PS000000000394;FO000000001436;FO000000002388;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000395;FO000000000940;FO000000002198;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000396;FO000000000331;FO000000002171;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000397;FO000000001762;FO000000001531;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000398;FO000000002238;FO000000001756;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000399;FO000000002265;FO000000001160;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000400;FO000000000086;FO000000000701;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000401;FO000000000496;FO000000000176;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000402;FO000000001825;FO000000002290;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000403;FO000000001653;FO000000000029;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000404;FO000000002146;FO000000001078;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000405;FO000000001811;FO000000002414;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000406;FO000000000863;FO000000001539;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000407;FO000000002075;FO000000001695;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000408;FO000000001904;FO000000001087;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000409;FO000000001764;FO000000002105;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000410;FO000000000200;FO000000002120;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000411;FO000000000415;FO000000000288;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000412;FO000000001709;FO000000000470;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000413;FO000000001780;FO000000000947;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000414;FO000000002439;FO000000000649;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000415;FO000000000015;FO000000000438;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000416;FO000000001155;FO000000002163;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000417;FO000000000840;FO000000000987;0;CVHU0013029953;LB;PA;;;;;;;;;;
PS000000000418;FO000000000701;FO000000002424;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000419;FO000000000176;FO000000002172;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000420;FO000000002290;FO000000000383;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000421;FO000000000029;FO000000001595;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000422;FO000000001078;FO000000000957;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000423;FO000000002414;FO000000001215;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000424;FO000000001539;FO000000002140;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000425;FO000000001695;FO000000000785;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000426;FO000000001087;FO000000001470;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000427;FO000000002105;FO000000000334;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000428;FO000000002120;FO000000001330;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000429;FO000000000288;FO000000000260;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000430;FO000000000470;FO000000000052;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000431;FO000000000947;FO000000001864;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000432;FO000000000649;FO000000001487;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000433;FO000000000438;FO000000001936;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000434;FO000000002163;FO000000001457;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000435;FO000000000987;FO000000001140;0;CVHU0013029955;LB;PA;;;;;;;;;;
PS000000000436;FO000000002140;FO000000002379;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000437;FO000000000785;FO000000000609;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000438;FO000000001470;FO000000001607;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000439;FO000000000334;FO000000000264;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000440;FO000000001330;FO000000000507;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000441;FO000000000260;FO000000001520;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000442;FO000000000052;FO000000000622;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000443;FO000000001864;FO000000001182;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000444;FO000000001487;FO000000001781;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000445;FO000000001936;FO000000000318;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000446;FO000000001457;FO000000001154;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000447;FO000000001140;FO000000000142;0;CVHU0013029956;LB;PA;;;;;;;;;;
PS000000000448;FO000000000622;FO000000001249;0;CVHU0013029957;LB;PA;;;;;;;;;;
PS000000000449;FO000000001182;FO000000001412;0;CVHU0013029957;LB;PA;;;;;;;;;;
PS000000000450;FO000000001781;FO000000002221;0;CVHU0013029957;LB;PA;;;;;;;;;;
PS000000000451;FO000000000318;FO000000001312;0;CVHU0013029957;LB;PA;;;;;;;;;;
PS000000000452;FO000000001154;FO000000001544;0;CVHU0013029957;LB;PA;;;;;;;;;;
PS000000000453;FO000000000142;FO000000000238;0;CVHU0013029957;LB;PA;;;;;;;;;;
PS000000000454;FO000000001190;FO000000002244;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000455;FO000000000523;FO000000000293;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000456;FO000000001489;FO000000000604;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000457;FO000000001847;FO000000002213;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000458;FO000000002253;FO000000001055;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000459;FO000000000790;FO000000000487;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000460;FO000000000162;FO000000001797;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000461;FO000000000811;FO000000001360;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000462;FO000000000878;FO000000001654;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000463;FO000000000675;FO000000002184;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000464;FO000000001925;FO000000002336;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000465;FO000000002249;FO000000000216;0;CVHU0013029959;LB;PA;;;;;;;;;;
PS000000000466;FO000000002293;FO000000000083;0;CVHU0013029961;LB;PA;;;;;;;;;;
PS000000000467;FO000000001359;FO000000001405;0;CVHU0013029961;LB;PA;;;;;;;;;;
PS000000000468;FO000000000670;FO000000001054;0;CVHU0013029961;LB;PA;;;;;;;;;;
PS000000000469;FO000000000691;FO000000001750;0;CVHU0013029961;LB;PA;;;;;;;;;;
PS000000000470;FO000000002112;FO000000001632;0;CVHU0013029961;LB;PA;;;;;;;;;;
