pt_code;pt_codeext;pt_abandon;pt_etiquet;pt_perirec;pt_nd_code;pt_prop;pt_gest;pt_proptyp;pt_statut;pt_avct;pt_typephy;pt_nature;pt_secu;pt_a_struc;pt_a_haut;pt_nomvoie;pt_insee;pt_commune;pt_numero;pt_rep;pt_ad_code;pt_gest_do;pt_prop_do;pt_user;pt_etat;pt_datemes;pt_typelog;pt_rf_code;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_passa;pt_a_strat;pt_detec;pt_local;pt_postal;pt_section;pt_idpar;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
CH000003984947;3984947;0;CH-30117-780-FT;;CH000003984947;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;K2C;0;;;2053 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003985265;3985265;0;CH-30117-477-FT;;CH000003985265;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0029 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003985601;3985601;0;CH-30117-496-FT;;CH000003985601;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0009 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003985909;3985909;0;CH-30117-821-FT;;CH000003985909;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0001 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003986231;3986231;0;CH-30117-816-FT;;CH000003986231;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L3T;0;;;2054 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003986242;3986242;0;CH-30117-552-FT;;CH000003986242;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0009 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003986243;3986243;0;CH-30117-777-FT;;CH000003986243;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2T;0;;;0026 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000003986249;3986249;0;CH-30117-884-FT;;CH000003986249;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2C;0;;;0001 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004008955;4008955;0;CH-30117-835-FT;;CH000004008955;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;A12;0;;;1003 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004008959;4008959;0;CH-30117-975-FT;;CH000004008959;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2T;0;;;0026 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004009910;4009910;0;CH-30117-1021-FT;;CH000004009910;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;K3C;0;;;30117 /  FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004069458;4069458;0;30117-CHAC10-WIGARD;;CH000004069458;PCHA0000000193;GCHA0000000205;CST;REC;E;C;L3T;0;;;37 AVENUE DE NIMES 30300 FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004094390;4094390;0;CH-30117-484-FT;;CH000004094390;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D12;0;;;0009 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004094394;4094394;0;CH-30117-486-FT;;CH000004094394;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D12;0;;;0009 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004094396;4094396;0;CH-30117-480-FT;;CH000004094396;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L1C;0;;;0029 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004094397;4094397;0;CH-30117-857-FT;;CH000004094397;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;K2C;0;;;0001 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004309426;4309426;0;CH-30117-854-FT;;CH000004309426;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D12;0;;;0030 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004309432;4309432;0;CH-30117-893-FT;;CH000004309432;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2C;0;;;0022 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004310066;4310066;0;CH-30117-798-FT;;CH000004310066;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2T;0;;;2053 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004310070;4310070;0;CH-30117-853-FT;;CH000004310070;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D11;0;;;0027 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004310077;4310077;0;CH-30117-585-FT;;CH000004310077;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D12;0;;;0001 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004310408;4310408;0;CH-30117-592-FT;;CH000004310408;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L6T;0;;;0001 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004310414;4310414;0;CH-30117-582-FT;;CH000004310414;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;D12;0;;;0001 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004310416;4310416;0;CH-30117-866-FT;;CH000004310416;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2T;0;;;2053 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004310724;4310724;0;CH-30117-861-FT;;CH000004310724;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L1T;0;;;2053 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004310732;4310732;0;CH-30117-970-FT;;CH000004310732;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2T;0;;;0023 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311345;4311345;0;CH-30117-849-FT;;CH000004311345;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;A11;0;;;1002 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311346;4311346;0;CH-30117-850-FT;;CH000004311346;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;A11;0;;;1002 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311348;4311348;0;CH-30117-805-FT;;CH000004311348;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L3T;0;;;2054 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311353;4311353;0;CH-30117-811-FT;;CH000004311353;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L3T;0;;;2054 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311358;4311358;0;CH-30117-733-FT;;CH000004311358;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;K2C;0;;;0150 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311359;4311359;0;CH-30117-735-FT;;CH000004311359;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;K2C;0;;;0150 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311360;4311360;0;CH-30117-872-FT;;CH000004311360;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2T;0;;;2053 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311699;4311699;0;CH-30117-897-FT;;CH000004311699;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;L2T;0;;;0022 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004311707;4311707;0;CH-30117-840-FT;;CH000004311707;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;A11;0;;;1001 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004312307;4312307;0;CH-30117-891-FT;;CH000004312307;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;K1C;0;;;0022 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004312318;4312318;0;CH-30117-887-FT;;CH000004312318;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0103 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004312319;4312319;0;CH-30117-888-FT;;CH000004312319;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0103 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004312320;4312320;0;CH-30117-889-FT;;CH000004312320;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0103 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
CH000004313601;4313601;0;CH-30117-890-FT;;CH000004313601;PCHA0000000002;GCHA0000000002;OCC;REC;E;C;OHN;0;;;0103 / 30117 / FOURQUES;30117;Fourques;1;;;;;;;;;;;;;;;;;;;;;;;;;
