st_code;st_perirec;st_nd_code;st_codeext;st_abandon;st_nra;st_prop;st_gest;st_proptyp;st_statut;st_dateins;st_avct;st_typephy;st_typelog;st_design;st_ad_code;st_postal;st_insee;st_commune;st_nomvoie;st_numero;st_rep;st_nombat;st_nom;st_user;st_etat;st_datemes;st_nblines;st_ban_id;st_section;st_idpar;st_hexacle;st_comment;st_creadat;st_majdate;st_majsrc;st_abddate;st_abdsrc
IM00000000000000000000000ID-30117000006Q;;IM00000000000000000000000ID-30117000006Q;ID-30117000006Q;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30117000006Q;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30117000007P;;IM00000000000000000000000ID-30117000007P;ID-30117000007P;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30117000007P;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30117000000H;;IM00000000000000000000000ID-30117000000H;ID-30117000000H;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30117000000H;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30117000007B;;IM00000000000000000000000ID-30117000007B;ID-30117000007B;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30117000007B;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30117000006X;;IM00000000000000000000000ID-30117000006X;ID-30117000006X;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30117000006X;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-301170000089;;IM00000000000000000000000ID-301170000089;ID-301170000089;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-301170000089;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-301170000071;;IM00000000000000000000000ID-301170000071;ID-301170000071;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-301170000071;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30117000006M;;IM00000000000000000000000ID-30117000006M;ID-30117000006M;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30117000006M;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-301170000085;;IM00000000000000000000000ID-301170000085;ID-301170000085;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-301170000085;;;;;0;;;;;;;;;;;;;;;;;
IM00000000000000000000000ID-30117000002Q;;IM00000000000000000000000ID-30117000002Q;ID-30117000002Q;0;0;;;;;;;BAT;CLIENT;;AD00000000000000000000000ID-30117000002Q;;;;;0;;;;;;;;;;;;;;;;;
